Oberkategorie,Unterkategorie,CF,MF
Elektro divers,Schleifer,"18,76","62,98"
Elektro divers,Schleifmaus,"6,25","20,99"
Elektro divers,Schreibmaschine,"6,35","29,31"
Elektro divers,Schukostecker,"0,66","12,16"
Elektro divers,Schweißgerät,"52,48","611,42"
Elektro divers,Schwertsäge,"25,02","83,98"
Elektro divers,Schwibbogen,"2,02","7,43"
Elektro divers,Schwingschleifer,"12,51","41,99"
Elektro divers,Servomotor,"4,43","56,88"
Elektro divers,Sicherungskasten,"100,6","1914,88"
Elektro divers,Solarleuchte,"24,98","471,76"
Elektro divers,Solarpanel,"108,75","425,64"
Elektro divers,Spannungsmesser,"25,15","478,72"
Elektro divers,Spannungsregler,"15,09","287,23"
Elektro divers,Spiegelschrank,"30,24","111,43"
Elektro divers,Spielzeug,"0,95","1,38"
Elektro divers,Spielzeugbagger,"2,85","4,15"
Elektro divers,Spielzeugkran,"3,8","5,53"
Elektro divers,Spielzeugpistole,"0,38","0,55"
Elektro divers,Spitzmaschine elektrisch,"1,41","9,41"
Elektro divers,Sprechanlage,"50,3","957,44"
Elektro divers,Standlüfter,"72,6","838,7"
Elektro divers,Steamer,"75,45","1436,16"
Elektro divers,Steckdosenleiste,"1,18","62,58"
Elektro divers,Stecker,"1,32","24,32"
Elektro divers,Stehleuchte,"99,93","1887,05"
Elektro divers,Steuergerät,"100,6","1914,88"
Elektro divers,Steuerung,"100,6","1914,88"
Elektro divers,Stichsäge,"15,64","52,49"
Elektro divers,Stirnlampe,"9,99","188,7"
Elektro divers,Stoffschere,"0,52","6,11"
Elektro divers,Stromverteiler Zigarettenanzünder,"10,06","191,49"
Elektro divers,Säge,"18,76","62,98"
Elektro divers,TAN Generator,"5,03","95,74"
Elektro divers,Taschenlampe,"14,99","283,06"
Elektro divers,Tauchpumpe,"11,08","170,12"
Elektro divers,Tauchsäge,"25,02","83,98"
Elektro divers,Teichpumpe,"9,23","141,77"
Elektro divers,Tennisschläger Spannmaschine,"33,92","166,63"
Elektro divers,Thermostat,"10,06","191,49"
Elektro divers,Tischlampe,"49,96","943,52"
Elektro divers,Tischrechner,"25,15","478,72"
Elektro divers,Tischrechner,"25,15","478,72"
Elektro divers,Trafo,"62,36","1167,8"
Elektro divers,Transformator,"37,42","700,68"
Elektro divers,Trennschleifer,"25,02","83,98"
Elektro divers,Tresor,"262,39","3057,12"
Elektro divers,Türgong,"10,06","191,49"
Elektro divers,Türsprechanlage,"50,3","957,44"
Elektro divers,Uhr,"0,2","0,44"
Elektro divers,Uhrenbeweger,"2,02","7,43"
Elektro divers,Universal Streugerät,"100,6","1914,88"
Elektro divers,Unkrautbrenner,"6,25","20,99"
Elektro divers,Vakumiergerät,"14,16","68,44"
Elektro divers,Venenwalker,"7,08","34,22"
Elektro divers,Verlängerungskabel,"2,96","156,45"
Elektro divers,Verlängerungskabel,"2,96","156,45"
Elektro divers,Verstärker,"251,51","4787,21"
Elektro divers,Vertikutierer,"33,92","166,63"
Elektro divers,WLAN Verstärker,"10,06","191,49"
Elektro divers,Wandlampe,"99,93","1887,05"
Elektro divers,Webcam,"5,03","95,74"
Elektro divers,Wechselrichter,"24,95","467,12"
Elektro divers,Wecker,"15,09","287,23"
Elektro divers,Weidezaungerät,,
